bus_name_origen,nombre_geosadi,nemo,carrier,p_nom,costo_marginal_match,fuente_costo,CVP_manual,
CUM3FV,P.S. LA CUMBRE III,CUM3FV,solar,12,NO,,P.S. La Cumbre,
NECOTV03,NECOCHEA,NECO,steam,61.62,SI,CVP_TERMICA,,
NECOTV04,NECOCHEA,NECO,steam,46.1,SI,CVP_TERMICA,,
SNICTV14,SAN NICOLAS,SNIC,steam,43.7,SI,CVP_TERMICA,,
PATATV01,C.T. PATAGONIA,PATA,ccgt,40,SI,CVP_TERMICA,,
DIADEO01,DIADEMA EOLICO,DIADEO,wind,6.3,NO,mater,61.7,
LUJBTG01,CT LUJAN BSAS,LUJB,ocgt,64,SI,CVP_TERMICA,,
LUJBTG02,CT LUJAN BSAS,LUJB,ocgt,58,SI,CVP_TERMICA,,
BRKETV01,BARKER UGENERGY,BRKE,steam,59.25,SI,CVP_TERMICA,,
INDETG01,INDEPENDENCIA,INDE,ocgt,25.1,SI,CVP_TERMICA,,
SOLATG02,SOLALBAN,SOLA,ccgt,23.7215,SI,CVP_TERMICA_PROMEDIO,,
SOLATG01,SOLALBAN,SOLA,ccgt,47.443,SI,CVP_TERMICA,,
MMARTG04,MARANZANA,MMAR,ocgt,22.9,SI,CVP_TERMICA,,
MMARTG03,MARANZANA,MMAR,ocgt,44.8,SI,CVP_TERMICA_PROMEDIO,,
INDETG02,INDEPENDENCIA,INDE,ocgt,54.3,SI,CVP_TERMICA,,
MMARTG05,MARANZANA,MMAR,ocgt,50.5,SI,CVP_TERMICA,,
FRIATG01,FRIAS,FRIA,ocgt,58.98,SI,CVP_TERMICA,,
GUEMTV12,GUEMES,GUEM,steam,59.49,SI,CVP_TERMICA,,
GUEMTV11,GUEMES,GUEM,steam,59.55,SI,CVP_TERMICA,,
VMA2TV01,V.MARIA UENSA,VMA2,steam,55.6,SI,CVP_TERMICA,,
ROCATV01,TERMOROCA,ROCA,steam,55.539,SI,CVP_TERMICA,,
DIAGFV01,Proyecto Solar Los Diaguitas (MATER),DIAGFV,solar,100,NO,mater,63.3,
PEDRTV01,SAN PEDRO BSAS,PEDR,steam,61.52,SI,CVP_TERMICA,,
ROJOTV01,G ROJO R.ENERGY,ROJO,steam,56.6,SI,CVP_TERMICA,,
LDCUTV11,LUJAN DE CUYO,LDCU,steam,35,SI,CVP_TERMICA,,
LDCUTV12,LUJAN DE CUYO,LDCU,steam,35.983,SI,CVP_TERMICA,,
NPUETV04,NUEVO PUERTO,NPUE,steam,0,SI,CVP_TERMICA,,
CCOLHI02,CARACOLES,CCOLHI,hydro,60.7,PENDIENTE,mater,45,
CCOLHI01,CARACOLES,CCOLHI,hydro,60.7,PENDIENTE,mater,45,
SERTTG01,RSO TERC SOENER,SERT,ocgt,60,SI,CVP_TERMICA,,
CUMBFV01,P.S. La Cumbre,CUMBFV,solar,25,SI,CVP_RENOVAR,,
CHN3EO01,P.E. CHUBUT NORTE III,CHN3EO,wind,58,SI,CVP_RENOVAR,,
ROJOTG04,G ROJO R.ENERGY,ROJO,ocgt,50,SI,CVP_TERMICA,,
VMA2TG03,V.MARIA UENSA,VMA2,ocgt,49.46,SI,CVP_TERMICA,,
BRKETG03,BARKER UGENERGY,BRKE,ocgt,47.68,SI,CVP_TERMICA,,
BRKETG02,BARKER UGENERGY,BRKE,ocgt,49.12,SI,CVP_TERMICA,,
VMA2TG04,V.MARIA UENSA,VMA2,ocgt,49.5,SI,CVP_TERMICA,,
BRKETG01,BARKER UGENERGY,BRKE,ocgt,48.77,SI,CVP_TERMICA,,
VMA2TG02,V.MARIA UENSA,VMA2,ocgt,49.9,SI,CVP_TERMICA,,
ROJOTG01,G ROJO R.ENERGY,ROJO,ocgt,50,SI,CVP_TERMICA,,
BRKETG04,BARKER UGENERGY,BRKE,ocgt,50,SI,CVP_TERMICA,,
VMA2TG01,V.MARIA UENSA,VMA2,ocgt,50,SI,CVP_TERMICA,,
ROJOTG03,G ROJO R.ENERGY,ROJO,ocgt,50,SI,CVP_TERMICA,,
ROJOTG02,G ROJO R.ENERGY,ROJO,ocgt,50,SI,CVP_TERMICA,,
ELBIEO01,P.E. LA ELBITA,ELBIEO,wind,53,NO,,,P.E. Villalonga
ASECTG02,C.T. ARROYO SECO,ASEC,ocgt,52.18,SI,CVP_TERMICA,,
ASECTG01,C.T. ARROYO SECO,ASEC,ocgt,53.17,SI,CVP_TERMICA,,
ELBIEO02,P.E. LA ELBITA,ELBIEO,wind,53,NO,,,P.E. Villalonga
ELBIEO03,P.E. LA ELBITA,ELBIEO,wind,53,NO,,,P.E. Villalonga
ENRSDI01,C.T. ENSENADA. BRS,ENRS,biogas,4.25,NO,,,
ESCOTV01,C.T. LA ESCONDIDA.  INDUNOR S.A.,ESCO,biomass,10.067,NO,,C.T. LA ESCONDIDA,
SAL2TG01,SALTOII SOENERG,SAL2,ocgt,60,SI,CVP_TERMICA,,
PEDRTG02,SAN PEDRO BSAS,PEDR,ocgt,51.75,SI,CVP_TERMICA,,
ZARATG01,C.T ZARATE,ZARA,ocgt,51.3,SI,CVP_TERMICA,,
ZARATG02,C.T ZARATE,ZARA,ocgt,49.3,SI,CVP_TERMICA,,
PEDRTG01,SAN PEDRO BSAS,PEDR,ocgt,50.9004,SI,CVP_TERMICA,,
PEDRTG03,SAN PEDRO BSAS,PEDR,ocgt,50.2,SI,CVP_TERMICA,,
ZARATG04,C.T ZARATE,ZARA,ocgt,50.8,SI,CVP_TERMICA,,
ZARATG03,C.T ZARATE,ZARA,ocgt,52.5,SI,CVP_TERMICA,,
GARRTV01,C.T. GARRUCHOS,GARR,biomass,40,NO,,,
GNV2EO01,P.E. VIENTOS LA GENOVEVA II (MATER),GNV2EO,wind,41.8,NO,,P.E. LA GENOVEVA,
GZ2AFV01,P.S. GUAÑIZUL II A,GZ2A,solar,108,NO,,P.S. GUA�IZUIL II A,
HESRFV,P.S.F.V HELIOS SANTA ROSA PV,HESRFV,solar,5,NO,mater,69.2,
HON1FV01,P.S. C.HONDA 1,HON1FV,solar,3,NO,,,P.S. Cerros del Sol
INDETG04,INDEPENDENCIA,INDE,ocgt,49,SI,CVP_TERMICA,,
EZEITG04,CT EZEIZA,EZEI,ocgt,52.97,SI,CVP_TERMICA,,
HON4FV01,P.S. C. HONDA IV,HON4FV,solar,6,NO,,,P.S. Cerros del Sol
HSR2FV01,P.S. HELIOS SANTA ROSA II,HSR2FV,solar,5.2,NO,mater,69.2,
MMARTG07,MARANZANA,MMAR,ocgt,46.98,SI,CVP_TERMICA,,
MMARTG06,MARANZANA,MMAR,ocgt,47.1,SI,CVP_TERMICA,,
EZEITG02,CT EZEIZA,EZEI,ocgt,50.5838,SI,CVP_TERMICA,,
EZEITG03,CT EZEIZA,EZEI,ocgt,50.6,SI,CVP_TERMICA,,
MMARTG08,MARANZANA,MMAR,ocgt,49.68,SI,CVP_TERMICA,,
MDPATG23,MAR DEL PLATA,MDPA,ocgt,46,SI,CVP_TERMICA,,
MDPATG24,MAR DEL PLATA,MDPA,ocgt,47.37,SI,CVP_TERMICA,,
ACAJTG03,AGUA DEL CAJON,ACAJ,ccgt,48.3236,SI,CVP_TERMICA,,
ACAJTG01,AGUA DEL CAJON,CAPE,ccgt,45.21,SI,CVP_TERMICA,,
IGLEFV01,P.S. IGLESIA GUAÑIZUL,IGLE,solar,81,NO,,P.S. Iglesia - Gua�izuli,
LEALTV01,C.T. COGENERACI N INGENIO LEALES,LEAL,biomass,2.226,NO,,,
LEONEO01,PE CAÑADON LEON,LEON,wind,103,NO,,P.E. CA�ADADON LEON,
LRIOTG24,LA RIOJA,LRIO,ocgt,46.89,SI,CVP_TERMICA,,
INDETG03,INDEPENDENCIA,INDE,ocgt,48,SI,CVP_TERMICA,,
LEV1EO01,P.E. GRAL. LEVALLE (MATER),LEV1EO,wind,62,NO,,LEO1CAEO,
ACAJTG04,AGUA DEL CAJON,ACAJ,ccgt,49.1535,SI,CVP_TERMICA,,
ACAJTG05,AGUA DEL CAJON,ACAJ,ccgt,50.7585,SI,CVP_TERMICA,,
ACAJTG02,AGUA DEL CAJON,ACAJ,ccgt,48.1576,SI,CVP_TERMICA,,
