gen_key,bus_id_origen,bus_name_origen,nombre_geosadi,carrier,pg_mw,pt_mw,stat,lat,lon,geo_match,match_type,bus_conexion500kv,bus_conexion500kv_name,n_saltos,camino
3631-1,3631,S3GCDI01,,diesel,5.0,5.6,1,,,sin_match,bfs,3120.0,RODRGUEZ_220kV_1,10,S3GCDI01 -> SM3D -> SM3D.RECT -> SUAREZ -> SUAREZ -> V.ADEL.1 -> EDISO.RO -> EDISON -> MALAVER1 -> MORON 2 -> RODRIGU1
3667-1,3667,CEPUTG11,,ccgt,230.0,258.0,1,,,sin_match,manual,3120.0,RODRGUEZ_220kV_1,-1,
3668-2,3668,CEPUTG12,,ccgt,240.0,258.0,1,,,sin_match,bfs,3122.0,RODRGUEZ_220kV_2,9,CEPUTG12 -> CPUERTO2 -> P.N.ROJO -> AUSTRIA -> AGRON.RO -> CIUDADEL -> RMEJ.MAR -> MORON -> MORON 1 -> RODRIGU2
3669-1,3669,CEPUTV10,,ccgt,260.0,282.0,1,,,sin_match,manual,3120.0,RODRGUEZ_220kV_1,-1,
3689-1,3689,GCRSDI01,,biogas,5.0,5.94,1,,,sin_match,bfs,3110.0,EZEIZA_220kV_1,6,GCRSDI01 -> G.CATAN 1 -> G.CATAN1 -> PI-PINO -> PI-CANUE -> EZE1132 -> EZEIZA 2
4600-1,4600,CALCTV11,,steam,30.0,30.0,0,,,sin_match,bfs,4312.0,S.TOME_132kV_1,4,CALCTV11 -> CALCHINE -> PTO.STAFE -> PZACALCH -> S.TOME 1
4609-1,4609,CLERDI01,,diesel,14.0,15.6,0,,,sin_match,bfs,4222.0,C.ELIA_132kV,5,CLERDI01 -> COLON.ER -> COLON.ER -> C.URUGUA1 -> PI.BAS.ELI -> C.ELIA
4620-1,4620,PARATG21,,ocgt,17.0,17.0,0,,,sin_match,bfs,4247.0,GRAN.PNA_132kV,3,PARATG21 -> PARANA.N -> ELPINGO -> GRAN.PNA
4626-1,4626,VTUEDI01,,diesel,22.4,22.4,1,,,sin_match,bfs,2245.0,HENDERS2_132kV,7,VTUEDI01 -> VTU.TER1 -> V.TUERTO -> RUFINO -> CHARLONE -> G.VILLEG -> PEHUAJO -> HENDERS2
4632-1,4632,CALCFV01,,solar,8.0,10.0,1,,,sin_match,bfs,4274.0,ROMANG_132kV,5,CALCFV01 -> CALC33_03 -> CALC33_02 -> CALCH-SF -> VERA -> ROMANG
4633-1,4633,CELIFV01,,solar,82.4,103.0,0,,,sin_match,bfs,4222.0,C.ELIA_132kV,4,CELIFV01 -> CELIFV01_331 -> CELIFV01_332 -> CELIFV_132 -> C.ELIA
4634-2,4634,CELIFV02,,solar,82.04,102.55,0,,,sin_match,bfs,4222.0,C.ELIA_132kV,4,CELIFV02 -> CELIFV02_331 -> CELIFV02_332 -> CELIFV_132 -> C.ELIA
4635-3,4635,CELIFV03,,solar,74.816,93.52,0,,,sin_match,bfs,4222.0,C.ELIA_132kV,4,CELIFV03 -> CELIFV03_331 -> CELIFV03_332 -> CELIFV_132 -> C.ELIA
4640-1,4640,SFOETG12,,ocgt,19.5,19.5,0,,,sin_match,bfs,4312.0,S.TOME_132kV_1,2,SFOETG12 -> S.FE OES -> S.TOME 1
