bus_id,bus_name,bus_name_psse,baskv_kv,ide,ide_desc,vm_pu,va_deg,parent_bus_id
6205,LUJAN.SL_132kV_1,LUJAN.SL2,132.0,1,PQ,,,6010
6252,MALVINAS_132kV,MALVINAS,132.0,1,PQ,,,6006
6286,LUJAN.SL_132kV_2,LUJAN.SL,132.0,1,PQ,,,6010
6521,MALVINAS_34.5kV_1,MALVINA1,34.5,1,PQ,,,6006
6522,MALVINAS_34.5kV_2,MALVINA2,34.5,1,PQ,,,6006
6534,LUJAN.SL_33kV_1,LUJA.TER,33.0,1,PQ,,,6010
6544,LUJAN.SL_33kV_2,LUJATER2,33.0,1,PQ,,,6010
6584,LUJAN.SL_33kV_3,LUJA33_03,33.0,1,PQ,,,6010
6600,EMBALSE_22kV,EMBANUCL,22.0,2,PV - generador activo,,,6004
6671,R.GRANDE_16.5kV_1,RGDEHB01,16.5,2,PV - generador activo,,,6008
6672,R.GRANDE_16.5kV_2,RGDEHB02,16.5,2,PV - generador activo,,,6008
6673,R.GRANDE_16.5kV_3,RGDEHB03,16.5,2,PV - generador activo,,,6008
6674,R.GRANDE_16.5kV_4,RGDEHB04,16.5,2,PV - generador activo,,,6008
6800,ALMAFUE._13.8kV_1,ALMAFUE1,13.8,1,PQ,,,6000
6801,ALMAFUE._13.8kV_2,ALMAFUE2,13.8,1,PQ,,,6000
6802,A.CABRAL_33kV,ACAB.TER,33.0,1,PQ,,,6002
6870,MALVINAS_33kV,MALV33_03,33.0,1,PQ,,,6006
6890,ALMAFUE._13.8kV_3,ALMAFUE3,13.8,1,PQ,,,6000
7104,GRAN MZA_220kV,GRAN MZA,220.0,1,PQ,,,7000
7114,RDIAMANT_220kV,RIODIAMA,220.0,1,PQ,,,7002
7203,NVA.SJUAN_132kV,NVA.SJUAN,132.0,1,PQ,,,7010
7216,GRAN MZA_132kV,GRAN MZA,132.0,1,PQ,,,7000
7514,RDIAMANT_33kV,RDI.TER1,33.0,1,PQ,,,7002
7530,NVA.SJUAN_33kV,NSJ.TER1,33.0,1,PQ,,,7010
7802,GRAN MZA_13.8kV_1,GME.TER1,13.8,1,PQ,,,7000
7803,GRAN MZA_13.8kV_2,GME.TER2,13.8,1,PQ,,,7000
7804,GRAN MZA_13.8kV_3,GME.TER3,13.8,1,PQ,,,7000
8120,COBOS_345kV,COBOS,345.0,1,PQ,,,8007
8214,BRACHO_132kV_1,C.T.TUC.,132.0,1,PQ,,,8000
8230,BRACHO_132kV_2,BRACHO1,132.0,1,PQ,,,8000
8232,BRACHO_132kV_3,BRACHO2,132.0,1,PQ,,,8000
8271,RIOJASUR_132kV,RIOJASUR,132.0,1,PQ,,,8006
8292,RECREO_132kV,RECREO,132.0,1,PQ,,,8002
8300,JUANCITO_132kV,JUANCITO,132.0,1,PQ,,,8008
8302,MQUEMADO_132kV,MQUEMADO,132.0,1,PQ,,,8010
8313,SANTIAGO_132kV,SANTIAGO,132.0,1,PQ,,,8013
8503,BRACHO_34.5kV_1,BRA.TER1,34.5,1,PQ,,,8000
8504,BRACHO_34.5kV_2,BRA.TER2,34.5,1,PQ,,,8000
8512,SANTIAGO_33kV,SAN.TER1,33.0,1,PQ,,,8013
8514,RECREO_33kV,REC.TER1,33.0,1,PQ,,,8002
8524,RECREO_13.2kV,REC.TER2,13.2,1,PQ,,,8002
8525,BRACHO_34.5kV_3,PLUSP,34.5,1,PQ,,,8000
8526,RIOJASUR_13.2kV,RSUR13_01,13.2,1,PQ,,,8006
8560,RIOJASUR_33kV,RSUR13_02,33.0,1,PQ,,,8006
8614,BRACHO_15.7kV_1,SMTUTG02,15.7,2,PV - generador activo,,,8000
8615,BRACHO_15.7kV_2,SMTUTV01,15.7,2,PV - generador activo,,,8000
8637,BRACHO_15.8kV,BRCHTG01,15.75,2,PV - generador activo,,,8000
8803,MQUEMADO_33kV,MQM.TER1,33.0,1,PQ,,,8010
8804,JUANCITO_33kV,JTO.TER1,33.0,1,PQ,,,8008
8805,COBOS_34.5kV,COB.TER1,34.5,1,PQ,,,8007
8809,COBOS_33kV,COB.TER1,33.0,1,PQ,,,8007
8900,BRACHO_18kV,BRCHTV01,18.0,2,PV - generador activo,,,8000
