gen_key,bus_id_origen,bus_name_origen,nombre_geosadi,falta,carrier,pg_mw,pt_mw,stat,lat,lon,geo_match,match_type,bus_conexion500kv,bus_conexion500kv_name,n_saltos,camino,COMENTARIOS
8906-5,8906,CAU5FV,P.S. CAUCHARI 5,ok,solar,80,100,0,-24.08620823,-66.71964002,manual,bfs,8120,COBOS_345kV,3,CAU5FV -> CAU5_33 -> ALTIPLANO -> COBOS,
7627-1,7627,QUEMFV02,P.S. EL QUEMADO,ok,solar,80,100,1,-32.4547553,-68.6368528,manual,bfs,7104,GRAN MZA_220kV,5,QUEMFV02 -> EQEUM33_04 -> EQEUM33_02 -> ELQUEMADO -> CRUZPIED -> GRAN MZA,
7634-1,7634,SRAFFV01,P.S. SAN RAFAEL,ok,solar,80,100,1,-34.54649836,-69.03876907,manual,bfs,7104,GRAN MZA_220kV,5,SRAFFV01 -> PSSR33_01 -> PSSR33 -> A.TORO -> REYUNOS -> GRAN MZA,
4635-3,4635,CELIFV03,,geo,solar,74.816,93.52,0,,,sin_match,bfs,4222,C.ELIA_132kV,4,CELIFV03 -> CELIFV03_331 -> CELIFV03_332 -> CELIFV_132 -> C.ELIA,
7641-1,7641,LMOLFV,P.S. LOS MOLLES,ok,solar,60,90,1,-35.42663442,-69.62083916,manual,bfs,7104,GRAN MZA_220kV,12,LMOLFV -> CEQ33 -> LOSMOLLES33 -> MOLLES132 -> LOS MOLLES -> PU.ROJAS -> SOSNEADO -> NIHUIL 1 -> NIHUIL 2 -> NIHUIL -> A.TORO -> REYUNOS -> GRAN MZA,
8960-3,8960,AR23EO01,,geo,wind,52,104,1,,,sin_match,bfs,8271,RIOJASUR_132kV,4,AR23EO01 -> ARA233_32 -> ARA233_03 -> ARAUCO_2 -> RIOJASUR,
1616-1,1616,PLEUEO01,,geo,wind,50,100,1,,,sin_match,bfs,1240,CHOCON_132kV,5,PLEUEO01 -> PE P LEUFU -> PE P LEUFU -> PE P LEUFU -> CHNCITO -> CHOCON,
2617-1,2617,OLAVEO01,P.E. VIENTOS OLAVARRIA (MATER),ok,wind,49.5,99,1,-36.72761878,-60.78656059,manual,bfs,2298,OLAVARRI_132kV_2,4,OLAVEO01 -> OLAV33_02 -> OLAV33_01 -> LA CHINA -> OLAVARR2,
8903-1,8903,VUNIFV,,geo,solar,48,60,1,,,sin_match,bfs,8271,RIOJASUR_132kV,6,VUNIFV -> VUNIFV_33 -> V.UNION_33 -> V.UNION -> NONOGSTA -> EMPIQUETE63 -> RIOJASUR,
7653-3,7653,LDCUTV15,LUJAN DE CUYO,ok,ccgt,80,98,1,-33.05568314,-68.98082788,manual,bfs,7216,GRAN MZA_132kV,3,LDCUTV15 -> LUJ.CUYO -> CRUZPIED -> GRAN MZA,
